TrackName,ArtistName,Album,PlaylistName,Type,ISRC
"What Do I Do With My Heart","Eagles","Long Road out of Eden","all of it","Playlist","479991052"
"Guilty of the Crime","Eagles","Long Road out of Eden","all of it","Playlist","479991062"
"I Don't Want to Hear Any More","Eagles","Long Road out of Eden","all of it","Playlist","479991072"
"Waiting in the Weeds","Eagles","Long Road out of Eden","all of it","Playlist","479991082"
"No More Cloudy Days","Eagles","Long Road out of Eden","all of it","Playlist","479991092"
"Long Road Out of Eden","Eagles","Long Road out of Eden","all of it","Playlist","479991132"
"Life in the Fast Lane (2013 Remaster)","Eagles","Hotel California (40th Anniversary Expanded Edition)","all of it","Playlist","426703702"
"Wasted Time (2013 Remaster)","Eagles","Hotel California (40th Anniversary Expanded Edition)","all of it","Playlist","426703712"
"One of These Nights (2013 Remaster)","Eagles","One of These Nights (2013 Remaster)","all of it","Playlist","68094422"
"Meds","Placebo","Meds","all of it","Playlist","1895402107"
"Infra-Red","Placebo","Meds","all of it","Playlist","1895402117"
"Post Blue","Placebo","Meds","all of it","Playlist","1895402157"
"Song to Say Goodbye","Placebo","Meds","all of it","Playlist","1895402227"
"Running Up That Hill","Placebo","Covers","all of it","Playlist","1895403967"
"The Package","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092694"
"Weak And Powerless","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092695"
"The Noose","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092696"
"Vanishing","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092698"
"Blue","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092697"
"A Stranger","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092699"
"The Outsider","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092700"
"The Nurse Who Loved Me","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092702"
"Pet","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092703"
"Lullaby","A Perfect Circle","Thirteenth Step","all of it","Playlist","3092704"
"Schism","TOOL","Lateralus","all of it","Playlist","722078532"
"Parabola","TOOL","Lateralus","all of it","Playlist","722078552"
"Sober","TOOL","Undertow","all of it","Playlist","722093132"
"Dead Man's Ballet","Sixx:A.M.","The Heroin Diaries Soundtrack","all of it","Playlist","368183931"
"Permission","Sixx:A.M.","The Heroin Diaries Soundtrack","all of it","Playlist","368183971"
"Life is Beautiful","Sixx:A.M.","The Heroin Diaries Soundtrack","all of it","Playlist","368183881"
"My Heart Went Cold","The Thermals","We Disappear","all of it","Playlist","116818258"
